           30,          30
  -0.33311843E+01  -0.20689654E+01  -0.13199926E+02
  -0.33311843E+01  -0.22413793E+01  -0.13206412E+02
  -0.33311843E+01  -0.24137931E+01  -0.13210829E+02
  -0.33311843E+01  -0.25862069E+01  -0.13213825E+02
  -0.33311843E+01  -0.27586207E+01  -0.13215850E+02
  -0.33311843E+01  -0.29310346E+01  -0.13217218E+02
  -0.33311843E+01  -0.31034484E+01  -0.13218139E+02
  -0.33311843E+01  -0.32758620E+01  -0.13218760E+02
  -0.33311843E+01  -0.34482758E+01  -0.13219178E+02
  -0.33311843E+01  -0.36206896E+01  -0.13219459E+02
  -0.33311843E+01  -0.37931035E+01  -0.13219648E+02
  -0.33311843E+01  -0.39655173E+01  -0.13219776E+02
  -0.33311843E+01  -0.41379309E+01  -0.13219861E+02
  -0.33311843E+01  -0.43103447E+01  -0.13219919E+02
  -0.33311843E+01  -0.44827585E+01  -0.13219957E+02
  -0.33311843E+01  -0.46551723E+01  -0.13219983E+02
  -0.33311843E+01  -0.48275862E+01  -0.13220001E+02
  -0.33311843E+01  -0.50000000E+01  -0.13220013E+02
 
  -0.28139428E+01   0.00000000E+00  -0.12424110E+02
  -0.28139428E+01  -0.17241380E+00  -0.12558369E+02
  -0.28139428E+01  -0.34482759E+00  -0.12683758E+02
  -0.28139428E+01  -0.51724136E+00  -0.12796654E+02
  -0.28139428E+01  -0.68965518E+00  -0.12894713E+02
  -0.28139428E+01  -0.86206895E+00  -0.12976553E+02
  -0.28139428E+01  -0.10344827E+01  -0.13042163E+02
  -0.28139428E+01  -0.12068965E+01  -0.13092804E+02
  -0.28139428E+01  -0.13793104E+01  -0.13130607E+02
  -0.28139428E+01  -0.15517242E+01  -0.13158058E+02
  -0.28139428E+01  -0.17241379E+01  -0.13177564E+02
  -0.28139428E+01  -0.18965517E+01  -0.13191199E+02
  -0.28139428E+01  -0.20689654E+01  -0.13200619E+02
  -0.28139428E+01  -0.22413793E+01  -0.13207071E+02
  -0.28139428E+01  -0.24137931E+01  -0.13211464E+02
  -0.28139428E+01  -0.25862069E+01  -0.13214444E+02
  -0.28139428E+01  -0.27586207E+01  -0.13216459E+02
  -0.28139428E+01  -0.29310346E+01  -0.13217819E+02
  -0.28139428E+01  -0.31034484E+01  -0.13218736E+02
  -0.28139428E+01  -0.32758620E+01  -0.13219354E+02
  -0.28139428E+01  -0.34482758E+01  -0.13219769E+02
  -0.28139428E+01  -0.36206896E+01  -0.13220049E+02
  -0.28139428E+01  -0.37931035E+01  -0.13220237E+02
  -0.28139428E+01  -0.39655173E+01  -0.13220364E+02
  -0.28139428E+01  -0.41379309E+01  -0.13220449E+02
  -0.28139428E+01  -0.43103447E+01  -0.13220506E+02
  -0.28139428E+01  -0.44827585E+01  -0.13220545E+02
  -0.28139428E+01  -0.46551723E+01  -0.13220571E+02
  -0.28139428E+01  -0.48275862E+01  -0.13220588E+02
  -0.28139428E+01  -0.50000000E+01  -0.13220600E+02
 
  -0.22967014E+01   0.00000000E+00  -0.12451537E+02
  -0.22967014E+01  -0.17241380E+00  -0.12577408E+02
  -0.22967014E+01  -0.34482759E+00  -0.12696881E+02
  -0.22967014E+01  -0.51724136E+00  -0.12806068E+02
  -0.22967014E+01  -0.68965518E+00  -0.12901500E+02
  -0.22967014E+01  -0.86206895E+00  -0.12981560E+02
  -0.22967014E+01  -0.10344827E+01  -0.13045966E+02
  -0.22967014E+01  -0.12068965E+01  -0.13095792E+02
  -0.22967014E+01  -0.13793104E+01  -0.13133045E+02
  -0.22967014E+01  -0.15517242E+01  -0.13160124E+02
  -0.22967014E+01  -0.17241379E+01  -0.13179379E+02
  -0.22967014E+01  -0.18965517E+01  -0.13192845E+02
  -0.22967014E+01  -0.20689654E+01  -0.13202151E+02
  -0.22967014E+01  -0.22413793E+01  -0.13208526E+02
  -0.22967014E+01  -0.24137931E+01  -0.13212868E+02
  -0.22967014E+01  -0.25862069E+01  -0.13215813E+02
  -0.22967014E+01  -0.27586207E+01  -0.13217804E+02
  -0.22967014E+01  -0.29310346E+01  -0.13219149E+02
  -0.22967014E+01  -0.31034484E+01  -0.13220055E+02
  -0.22967014E+01  -0.32758620E+01  -0.13220666E+02
  -0.22967014E+01  -0.34482758E+01  -0.13221077E+02
  -0.22967014E+01  -0.36206896E+01  -0.13221353E+02
  -0.22967014E+01  -0.37931035E+01  -0.13221539E+02
  -0.22967014E+01  -0.39655173E+01  -0.13221664E+02
  -0.22967014E+01  -0.41379309E+01  -0.13221749E+02
  -0.22967014E+01  -0.43103447E+01  -0.13221805E+02
  -0.22967014E+01  -0.44827585E+01  -0.13221843E+02
  -0.22967014E+01  -0.46551723E+01  -0.13221869E+02
  -0.22967014E+01  -0.48275862E+01  -0.13221886E+02
  -0.22967014E+01  -0.50000000E+01  -0.13221898E+02
 
  -0.17794599E+01   0.00000000E+00  -0.12510454E+02
  -0.17794599E+01  -0.17241380E+00  -0.12618695E+02
  -0.17794599E+01  -0.34482759E+00  -0.12725948E+02
  -0.17794599E+01  -0.51724136E+00  -0.12826549E+02
  -0.17794599E+01  -0.68965518E+00  -0.12916228E+02
  -0.17794599E+01  -0.86206895E+00  -0.12992583E+02
  -0.17794599E+01  -0.10344827E+01  -0.13054348E+02
  -0.17794599E+01  -0.12068965E+01  -0.13102384E+02
  -0.17794599E+01  -0.13793104E+01  -0.13138425E+02
