           30,          30
  -0.33311843E+01  -0.20689654E+01  -0.11924785E+02
  -0.33311843E+01  -0.22413793E+01  -0.11877377E+02
  -0.33311843E+01  -0.24137931E+01  -0.11815255E+02
  -0.33311843E+01  -0.25862069E+01  -0.11736720E+02
  -0.33311843E+01  -0.27586207E+01  -0.11641190E+02
  -0.33311843E+01  -0.29310346E+01  -0.11529364E+02
  -0.33311843E+01  -0.31034484E+01  -0.11403025E+02
  -0.33311843E+01  -0.32758620E+01  -0.11264588E+02
  -0.33311843E+01  -0.34482758E+01  -0.11116609E+02
  -0.33311843E+01  -0.36206896E+01  -0.10961433E+02
  -0.33311843E+01  -0.37931035E+01  -0.10801006E+02
  -0.33311843E+01  -0.39655173E+01  -0.10636841E+02
  -0.33311843E+01  -0.41379309E+01  -0.10470063E+02
  -0.33311843E+01  -0.43103447E+01  -0.10301480E+02
  -0.33311843E+01  -0.44827585E+01  -0.10131660E+02
  -0.33311843E+01  -0.46551723E+01  -0.99609998E+01
  -0.33311843E+01  -0.48275862E+01  -0.97897687E+01
  -0.33311843E+01  -0.50000000E+01  -0.96181518E+01
 
  -0.28139428E+01   0.00000000E+00  -0.12062928E+02
  -0.28139428E+01  -0.17241380E+00  -0.12055264E+02
  -0.28139428E+01  -0.34482759E+00  -0.12049639E+02
  -0.28139428E+01  -0.51724136E+00  -0.12045176E+02
  -0.28139428E+01  -0.68965518E+00  -0.12041177E+02
  -0.28139428E+01  -0.86206895E+00  -0.12037016E+02
  -0.28139428E+01  -0.10344827E+01  -0.12032052E+02
  -0.28139428E+01  -0.12068965E+01  -0.12025539E+02
  -0.28139428E+01  -0.13793104E+01  -0.12016535E+02
  -0.28139428E+01  -0.15517242E+01  -0.12003810E+02
  -0.28139428E+01  -0.17241379E+01  -0.11985958E+02
  -0.28139428E+01  -0.18965517E+01  -0.11960574E+02
  -0.28139428E+01  -0.20689654E+01  -0.11925451E+02
  -0.28139428E+01  -0.22413793E+01  -0.11878012E+02
  -0.28139428E+01  -0.24137931E+01  -0.11815870E+02
  -0.28139428E+01  -0.25862069E+01  -0.11737323E+02
  -0.28139428E+01  -0.27586207E+01  -0.11641786E+02
  -0.28139428E+01  -0.29310346E+01  -0.11529956E+02
  -0.28139428E+01  -0.31034484E+01  -0.11403615E+02
  -0.28139428E+01  -0.32758620E+01  -0.11265176E+02
  -0.28139428E+01  -0.34482758E+01  -0.11117197E+02
  -0.28139428E+01  -0.36206896E+01  -0.10962020E+02
  -0.28139428E+01  -0.37931035E+01  -0.10801593E+02
  -0.28139428E+01  -0.39655173E+01  -0.10637428E+02
  -0.28139428E+01  -0.41379309E+01  -0.10470650E+02
  -0.28139428E+01  -0.43103447E+01  -0.10302067E+02
  -0.28139428E+01  -0.44827585E+01  -0.10132247E+02
  -0.28139428E+01  -0.46551723E+01  -0.99615867E+01
  -0.28139428E+01  -0.48275862E+01  -0.97903556E+01
  -0.28139428E+01  -0.50000000E+01  -0.96187387E+01
 
  -0.22967014E+01   0.00000000E+00  -0.12090130E+02
  -0.22967014E+01  -0.17241380E+00  -0.12074088E+02
  -0.22967014E+01  -0.34482759E+00  -0.12062759E+02
  -0.22967014E+01  -0.51724136E+00  -0.12054429E+02
  -0.22967014E+01  -0.68965518E+00  -0.12047815E+02
  -0.22967014E+01  -0.86206895E+00  -0.12041890E+02
  -0.22967014E+01  -0.10344827E+01  -0.12035737E+02
  -0.22967014E+01  -0.12068965E+01  -0.12028423E+02
  -0.22967014E+01  -0.13793104E+01  -0.12018881E+02
  -0.22967014E+01  -0.15517242E+01  -0.12005796E+02
  -0.22967014E+01  -0.17241379E+01  -0.11987507E+02
  -0.22967014E+01  -0.18965517E+01  -0.11962153E+02
  -0.22967014E+01  -0.20689654E+01  -0.11926924E+02
  -0.22967014E+01  -0.22413793E+01  -0.11879416E+02
  -0.22967014E+01  -0.24137931E+01  -0.11817231E+02
  -0.22967014E+01  -0.25862069E+01  -0.11738657E+02
  -0.22967014E+01  -0.27586207E+01  -0.11643104E+02
  -0.22967014E+01  -0.29310346E+01  -0.11531265E+02
  -0.22967014E+01  -0.31034484E+01  -0.11404918E+02
  -0.22967014E+01  -0.32758620E+01  -0.11266477E+02
  -0.22967014E+01  -0.34482758E+01  -0.11118496E+02
  -0.22967014E+01  -0.36206896E+01  -0.10963319E+02
  -0.22967014E+01  -0.37931035E+01  -0.10802891E+02
  -0.22967014E+01  -0.39655173E+01  -0.10638726E+02
  -0.22967014E+01  -0.41379309E+01  -0.10471948E+02
  -0.22967014E+01  -0.43103447E+01  -0.10303364E+02
  -0.22967014E+01  -0.44827585E+01  -0.10133545E+02
  -0.22967014E+01  -0.46551723E+01  -0.99628843E+01
  -0.22967014E+01  -0.48275862E+01  -0.97916532E+01
  -0.22967014E+01  -0.50000000E+01  -0.96200363E+01
 
  -0.17794599E+01   0.00000000E+00  -0.12148544E+02
  -0.17794599E+01  -0.17241380E+00  -0.12114899E+02
  -0.17794599E+01  -0.34482759E+00  -0.12091383E+02
  -0.17794599E+01  -0.51724136E+00  -0.12074700E+02
  -0.17794599E+01  -0.68965518E+00  -0.12062398E+02
  -0.17794599E+01  -0.86206895E+00  -0.12052616E+02
  -0.17794599E+01  -0.10344827E+01  -0.12043857E+02
  -0.17794599E+01  -0.12068965E+01  -0.12034785E+02
  -0.17794599E+01  -0.13793104E+01  -0.12024059E+02
  -0.17794599E+01  -0.15517242E+01  -0.12010179E+02
  -0.17794599E+01  -0.17241379E+01  -0.11991357E+02
  -0.17794599E+01  -0.18965517E+01  -0.11965450E+02
  -0.17794599E+01  -0.20689654E+01  -0.11930178E+02
  -0.17794599E+01  -0.22413793E+01  -0.11882518E+02
  -0.17794599E+01  -0.24137931E+01  -0.11820236E+02
  -0.17794599E+01  -0.25862069E+01  -0.11741603E+02
  -0.17794599E+01  -0.27586207E+01  -0.11646014E+02
  -0.17794599E+01  -0.29310346E+01  -0.11534155E+02
  -0.17794599E+01  -0.31034484E+01  -0.11407797E+02
  -0.17794599E+01  -0.32758620E+01  -0.11269350E+02
  -0.17794599E+01  -0.34482758E+01  -0.11121366E+02
  -0.17794599E+01  -0.36206896E+01  -0.10966187E+02
  -0.17794599E+01  -0.37931035E+01  -0.10805759E+02
  -0.17794599E+01  -0.39655173E+01  -0.10641593E+02
  -0.17794599E+01  -0.41379309E+01  -0.10474815E+02
  -0.17794599E+01  -0.43103447E+01  -0.10306231E+02
  -0.17794599E+01  -0.44827585E+01  -0.10136412E+02
  -0.17794599E+01  -0.46551723E+01  -0.99657511E+01
  -0.17794599E+01  -0.48275862E+01  -0.97945199E+01
  -0.17794599E+01  -0.50000000E+01  -0.96229030E+01
 
  -0.12622184E+01   0.00000000E+00  -0.12269171E+02
  -0.12622184E+01  -0.17241380E+00  -0.12201102E+02
  -0.12622184E+01  -0.34482759E+00  -0.12152734E+02
  -0.12622184E+01  -0.51724136E+00  -0.12118563E+02
  -0.12622184E+01  -0.68965518E+00  -0.12094153E+02
  -0.12622184E+01  -0.86206895E+00  -0.12076072E+02
  -0.12622184E+01  -0.10344827E+01  -0.12061661E+02
  -0.12622184E+01  -0.12068965E+01  -0.12048760E+02
  -0.12622184E+01  -0.13793104E+01  -0.12035449E+02
  -0.12622184E+01  -0.15517242E+01  -0.12019828E+02
  -0.12622184E+01  -0.17241379E+01  -0.11999839E+02
  -0.12622184E+01  -0.18965517E+01  -0.11973154E+02
  -0.12622184E+01  -0.20689654E+01  -0.11937168E+02
  -0.12622184E+01  -0.22413793E+01  -0.11889356E+02
  -0.12622184E+01  -0.24137931E+01  -0.11826863E+02
  -0.12622184E+01  -0.25862069E+01  -0.11748099E+02
  -0.12622184E+01  -0.27586207E+01  -0.11652432E+02
  -0.12622184E+01  -0.29310346E+01  -0.11540529E+02
  -0.12622184E+01  -0.31034484E+01  -0.11414147E+02
  -0.12622184E+01  -0.32758620E+01  -0.11275687E+02
  -0.12622184E+01  -0.34482758E+01  -0.11127697E+02
  -0.12622184E+01  -0.36206896E+01  -0.10972514E+02
  -0.12622184E+01  -0.37931035E+01  -0.10812084E+02
  -0.12622184E+01  -0.39655173E+01  -0.10647917E+02
  -0.12622184E+01  -0.41379309E+01  -0.10481139E+02
  -0.12622184E+01  -0.43103447E+01  -0.10312555E+02
  -0.12622184E+01  -0.44827585E+01  -0.10142735E+02
  -0.12622184E+01  -0.46551723E+01  -0.99720743E+01
  -0.12622184E+01  -0.48275862E+01  -0.98008431E+01
  -0.12622184E+01  -0.50000000E+01  -0.96292262E+01
 
  -0.74497693E+00   0.00000000E+00  -0.12495723E+02
  -0.74497693E+00  -0.17241380E+00  -0.12372156E+02
  -0.74497693E+00  -0.34482759E+00  -0.12278858E+02
  -0.74497693E+00  -0.51724136E+00  -0.12210815E+02
  -0.74497693E+00  -0.68965518E+00  -0.12161930E+02
  -0.74497693E+00  -0.86206895E+00  -0.12126619E+02
  -0.74497693E+00  -0.10344827E+01  -0.12100277E+02
  -0.74497693E+00  -0.12068965E+01  -0.12079199E+02
  -0.74497693E+00  -0.13793104E+01  -0.12060325E+02
  -0.74497693E+00  -0.15517242E+01  -0.12040942E+02
  -0.74497693E+00  -0.17241379E+01  -0.12018423E+02
  -0.74497693E+00  -0.18965517E+01  -0.11990048E+02
  -0.74497693E+00  -0.20689654E+01  -0.11952945E+02
  -0.74497693E+00  -0.22413793E+01  -0.11904213E+02
  -0.74497693E+00  -0.24137931E+01  -0.11841245E+02
  -0.74497693E+00  -0.25862069E+01  -0.11762183E+02
  -0.74497693E+00  -0.27586207E+01  -0.11666532E+02
  -0.74497693E+00  -0.29310346E+01  -0.11554533E+02
  -0.74497693E+00  -0.31034484E+01  -0.11428099E+02
  -0.74497693E+00  -0.32758620E+01  -0.11289612E+02
  -0.74497693E+00  -0.34482758E+01  -0.11141608E+02
  -0.74497693E+00  -0.36206896E+01  -0.10986418E+02
  -0.74497693E+00  -0.37931035E+01  -0.10825984E+02
  -0.74497693E+00  -0.39655173E+01  -0.10661816E+02
  -0.74497693E+00  -0.41379309E+01  -0.10495036E+02
  -0.74497693E+00  -0.43103447E+01  -0.10326452E+02
  -0.74497693E+00  -0.44827585E+01  -0.10156632E+02
  -0.74497693E+00  -0.46551723E+01  -0.99859711E+01
  -0.74497693E+00  -0.48275862E+01  -0.98147398E+01
  -0.74497693E+00  -0.50000000E+01  -0.96431228E+01
 
  -0.22773546E+00   0.00000000E+00  -0.12840205E+02
  -0.22773546E+00  -0.17241380E+00  -0.12664581E+02
  -0.22773546E+00  -0.34482759E+00  -0.12513222E+02
  -0.22773546E+00  -0.51724136E+00  -0.12391977E+02
  -0.22773546E+00  -0.68965518E+00  -0.12299877E+02
  -0.22773546E+00  -0.86206895E+00  -0.12231904E+02
  -0.22773546E+00  -0.10344827E+01  -0.12181924E+02
  -0.22773546E+00  -0.12068965E+01  -0.12144193E+02
  -0.22773546E+00  -0.13793104E+01  -0.12113789E+02
  -0.22773546E+00  -0.15517242E+01  -0.12086516E+02
  -0.22773546E+00  -0.17241379E+01  -0.12058652E+02
  -0.22773546E+00  -0.18965517E+01  -0.12026690E+02
  -0.22773546E+00  -0.20689654E+01  -0.11987211E+02
  -0.22773546E+00  -0.22413793E+01  -0.11936934E+02
  -0.22773546E+00  -0.24137931E+01  -0.11872984E+02
  -0.22773546E+00  -0.25862069E+01  -0.11793321E+02
  -0.22773546E+00  -0.27586207E+01  -0.11697120E+02
  -0.22773546E+00  -0.29310346E+01  -0.11584911E+02
  -0.22773546E+00  -0.31034484E+01  -0.11458360E+02
  -0.22773546E+00  -0.32758620E+01  -0.11319810E+02
  -0.22773546E+00  -0.34482758E+01  -0.11171773E+02
  -0.22773546E+00  -0.36206896E+01  -0.11016566E+02
  -0.22773546E+00  -0.37931035E+01  -0.10856123E+02
  -0.22773546E+00  -0.39655173E+01  -0.10691950E+02
  -0.22773546E+00  -0.41379309E+01  -0.10525167E+02
  -0.22773546E+00  -0.43103447E+01  -0.10356582E+02
  -0.22773546E+00  -0.44827585E+01  -0.10186761E+02
  -0.22773546E+00  -0.46551723E+01  -0.10016099E+02
  -0.22773546E+00  -0.48275862E+01  -0.98448677E+01
  -0.22773546E+00  -0.50000000E+01  -0.96732505E+01
 
   0.28950602E+00   0.00000000E+00  -0.13233819E+02
   0.28950602E+00  -0.17241380E+00  -0.13044737E+02
   0.28950602E+00  -0.34482759E+00  -0.12862514E+02
   0.28950602E+00  -0.51724136E+00  -0.12694664E+02
   0.28950602E+00  -0.68965518E+00  -0.12550231E+02
   0.28950602E+00  -0.86206895E+00  -0.12433919E+02
   0.28950602E+00  -0.10344827E+01  -0.12344401E+02
   0.28950602E+00  -0.12068965E+01  -0.12276641E+02
   0.28950602E+00  -0.13793104E+01  -0.12224445E+02
   0.28950602E+00  -0.15517242E+01  -0.12181817E+02
   0.28950602E+00  -0.17241379E+01  -0.12143350E+02
   0.28950602E+00  -0.18965517E+01  -0.12104193E+02
   0.28950602E+00  -0.20689654E+01  -0.12059916E+02
   0.28950602E+00  -0.22413793E+01  -0.12006509E+02
   0.28950602E+00  -0.24137931E+01  -0.11940578E+02
   0.28950602E+00  -0.25862069E+01  -0.11859710E+02
   0.28950602E+00  -0.27586207E+01  -0.11762812E+02
   0.28950602E+00  -0.29310346E+01  -0.11650221E+02
   0.28950602E+00  -0.31034484E+01  -0.11523476E+02
   0.28950602E+00  -0.32758620E+01  -0.11384833E+02
   0.28950602E+00  -0.34482758E+01  -0.11236755E+02
   0.28950602E+00  -0.36206896E+01  -0.11081533E+02
   0.28950602E+00  -0.37931035E+01  -0.10921086E+02
   0.28950602E+00  -0.39655173E+01  -0.10756913E+02
   0.28950602E+00  -0.41379309E+01  -0.10590132E+02
   0.28950602E+00  -0.43103447E+01  -0.10421548E+02
   0.28950602E+00  -0.44827585E+01  -0.10251729E+02
   0.28950602E+00  -0.46551723E+01  -0.10081069E+02
   0.28950602E+00  -0.48275862E+01  -0.99098380E+01
   0.28950602E+00  -0.50000000E+01  -0.97382214E+01
 
   0.80674750E+00   0.00000000E+00  -0.13630785E+02
   0.80674750E+00  -0.17241380E+00  -0.13441036E+02
   0.80674750E+00  -0.34482759E+00  -0.13255619E+02
   0.80674750E+00  -0.51724136E+00  -0.13076790E+02
   0.80674750E+00  -0.68965518E+00  -0.12908094E+02
   0.80674750E+00  -0.86206895E+00  -0.12755273E+02
   0.80674750E+00  -0.10344827E+01  -0.12624424E+02
   0.80674750E+00  -0.12068965E+01  -0.12517942E+02
   0.80674750E+00  -0.13793104E+01  -0.12433700E+02
   0.80674750E+00  -0.15517242E+01  -0.12366549E+02
   0.80674750E+00  -0.17241379E+01  -0.12310258E+02
   0.80674750E+00  -0.18965517E+01  -0.12258616E+02
   0.80674750E+00  -0.20689654E+01  -0.12205869E+02
   0.80674750E+00  -0.22413793E+01  -0.12146905E+02
   0.80674750E+00  -0.24137931E+01  -0.12077480E+02
   0.80674750E+00  -0.25862069E+01  -0.11994529E+02
   0.80674750E+00  -0.27586207E+01  -0.11896475E+02
   0.80674750E+00  -0.29310346E+01  -0.11783303E+02
   0.80674750E+00  -0.31034484E+01  -0.11656303E+02
   0.80674750E+00  -0.32758620E+01  -0.11517575E+02
   0.80674750E+00  -0.34482758E+01  -0.11369491E+02
   0.80674750E+00  -0.36206896E+01  -0.11214291E+02
   0.80674750E+00  -0.37931035E+01  -0.11053873E+02
   0.80674750E+00  -0.39655173E+01  -0.10889727E+02
   0.80674750E+00  -0.41379309E+01  -0.10722967E+02
   0.80674750E+00  -0.43103447E+01  -0.10554398E+02
   0.80674750E+00  -0.44827585E+01  -0.10384590E+02
   0.80674750E+00  -0.46551723E+01  -0.10213938E+02
   0.80674750E+00  -0.48275862E+01  -0.10042713E+02
   0.80674750E+00  -0.50000000E+01  -0.98710998E+01
 
   0.13239890E+01   0.00000000E+00  -0.14028159E+02
   0.13239890E+01  -0.17241380E+00  -0.13837889E+02
   0.13239890E+01  -0.34482759E+00  -0.13651663E+02
   0.13239890E+01  -0.51724136E+00  -0.13471693E+02
   0.13239890E+01  -0.68965518E+00  -0.13300018E+02
   0.13239890E+01  -0.86206895E+00  -0.13139712E+02
   0.13239890E+01  -0.10344827E+01  -0.12994041E+02
   0.13239890E+01  -0.12068965E+01  -0.12866101E+02
   0.13239890E+01  -0.13793104E+01  -0.12757588E+02
   0.13239890E+01  -0.15517242E+01  -0.12667538E+02
   0.13239890E+01  -0.17241379E+01  -0.12592161E+02
   0.13239890E+01  -0.18965517E+01  -0.12525978E+02
   0.13239890E+01  -0.20689654E+01  -0.12462907E+02
   0.13239890E+01  -0.22413793E+01  -0.12397092E+02
   0.13239890E+01  -0.24137931E+01  -0.12323468E+02
   0.13239890E+01  -0.25862069E+01  -0.12238216E+02
   0.13239890E+01  -0.27586207E+01  -0.12139119E+02
   0.13239890E+01  -0.29310346E+01  -0.12025655E+02
   0.13239890E+01  -0.31034484E+01  -0.11898753E+02
   0.13239890E+01  -0.32758620E+01  -0.11760278E+02
   0.13239890E+01  -0.34482758E+01  -0.11612473E+02
   0.13239890E+01  -0.36206896E+01  -0.11457521E+02
   0.13239890E+01  -0.37931035E+01  -0.11297299E+02
   0.13239890E+01  -0.39655173E+01  -0.11133301E+02
   0.13239890E+01  -0.41379309E+01  -0.10966647E+02
   0.13239890E+01  -0.43103447E+01  -0.10798154E+02
   0.13239890E+01  -0.44827585E+01  -0.10628398E+02
   0.13239890E+01  -0.46551723E+01  -0.10457781E+02
   0.13239890E+01  -0.48275862E+01  -0.10286581E+02
   0.13239890E+01  -0.50000000E+01  -0.10114984E+02
 
   0.18412276E+01   0.00000000E+00  -0.14425566E+02
   0.18412276E+01  -0.17241380E+00  -0.14234961E+02
   0.18412276E+01  -0.34482759E+00  -0.14048379E+02
   0.18412276E+01  -0.51724136E+00  -0.13867487E+02
   0.18412276E+01  -0.68965518E+00  -0.13694555E+02
   0.18412276E+01  -0.86206895E+00  -0.13532318E+02
   0.18412276E+01  -0.10344827E+01  -0.13383714E+02
   0.18412276E+01  -0.12068965E+01  -0.13251303E+02
   0.18412276E+01  -0.13793104E+01  -0.13136471E+02
   0.18412276E+01  -0.15517242E+01  -0.13038750E+02
   0.18412276E+01  -0.17241379E+01  -0.12955590E+02
   0.18412276E+01  -0.18965517E+01  -0.12882670E+02
   0.18412276E+01  -0.20689654E+01  -0.12814594E+02
   0.18412276E+01  -0.22413793E+01  -0.12745673E+02
   0.18412276E+01  -0.24137931E+01  -0.12670650E+02
   0.18412276E+01  -0.25862069E+01  -0.12585324E+02
   0.18412276E+01  -0.27586207E+01  -0.12487022E+02
   0.18412276E+01  -0.29310346E+01  -0.12374790E+02
   0.18412276E+01  -0.31034484E+01  -0.12249221E+02
   0.18412276E+01  -0.32758620E+01  -0.12111969E+02
   0.18412276E+01  -0.34482758E+01  -0.11965179E+02
   0.18412276E+01  -0.36206896E+01  -0.11811015E+02
   0.18412276E+01  -0.37931035E+01  -0.11651379E+02
   0.18412276E+01  -0.39655173E+01  -0.11487801E+02
   0.18412276E+01  -0.41379309E+01  -0.11321444E+02
   0.18412276E+01  -0.43103447E+01  -0.11153156E+02
   0.18412276E+01  -0.44827585E+01  -0.10983541E+02
   0.18412276E+01  -0.46551723E+01  -0.10813020E+02
   0.18412276E+01  -0.48275862E+01  -0.10641884E+02
   0.18412276E+01  -0.50000000E+01  -0.10470332E+02
 
   0.23584719E+01   0.00000000E+00  -0.14822913E+02
   0.23584719E+01  -0.17241380E+00  -0.14632164E+02
