           30,          30
   0.17034483E+02  -0.27586207E+01  -0.25158609E+02
   0.17034483E+02  -0.29310346E+01  -0.25158603E+02
   0.17034483E+02  -0.31034484E+01  -0.25158599E+02
   0.17034483E+02  -0.32758620E+01  -0.25158597E+02
   0.17034483E+02  -0.34482758E+01  -0.25158595E+02
   0.17034483E+02  -0.36206896E+01  -0.25158594E+02
   0.17034483E+02  -0.37931035E+01  -0.25158593E+02
   0.17034483E+02  -0.39655173E+01  -0.25158592E+02
   0.17034483E+02  -0.41379309E+01  -0.25158592E+02
   0.17034483E+02  -0.43103447E+01  -0.25158592E+02
   0.17034483E+02  -0.44827585E+01  -0.25158591E+02
   0.17034483E+02  -0.46551723E+01  -0.25158591E+02
   0.17034483E+02  -0.48275862E+01  -0.25158591E+02
   0.17034483E+02  -0.50000000E+01  -0.25158591E+02
 
   0.17379311E+02   0.00000000E+00  -0.25182093E+02
   0.17379311E+02  -0.17241380E+00  -0.25174617E+02
   0.17379311E+02  -0.34482759E+00  -0.25169572E+02
   0.17379311E+02  -0.51724136E+00  -0.25166173E+02
   0.17379311E+02  -0.68965518E+00  -0.25163884E+02
   0.17379311E+02  -0.86206895E+00  -0.25162343E+02
   0.17379311E+02  -0.10344827E+01  -0.25161307E+02
   0.17379311E+02  -0.12068965E+01  -0.25160610E+02
   0.17379311E+02  -0.13793104E+01  -0.25160141E+02
   0.17379311E+02  -0.15517242E+01  -0.25159825E+02
   0.17379311E+02  -0.17241379E+01  -0.25159613E+02
   0.17379311E+02  -0.18965517E+01  -0.25159471E+02
   0.17379311E+02  -0.20689654E+01  -0.25159375E+02
   0.17379311E+02  -0.22413793E+01  -0.25159310E+02
   0.17379311E+02  -0.24137931E+01  -0.25159267E+02
   0.17379311E+02  -0.25862069E+01  -0.25159238E+02
   0.17379311E+02  -0.27586207E+01  -0.25159218E+02
   0.17379311E+02  -0.29310346E+01  -0.25159205E+02
   0.17379311E+02  -0.31034484E+01  -0.25159196E+02
   0.17379311E+02  -0.32758620E+01  -0.25159190E+02
   0.17379311E+02  -0.34482758E+01  -0.25159186E+02
   0.17379311E+02  -0.36206896E+01  -0.25159184E+02
   0.17379311E+02  -0.37931035E+01  -0.25159182E+02
   0.17379311E+02  -0.39655173E+01  -0.25159181E+02
   0.17379311E+02  -0.41379309E+01  -0.25159180E+02
   0.17379311E+02  -0.43103447E+01  -0.25159179E+02
   0.17379311E+02  -0.44827585E+01  -0.25159179E+02
   0.17379311E+02  -0.46551723E+01  -0.25159179E+02
   0.17379311E+02  -0.48275862E+01  -0.25159178E+02
   0.17379311E+02  -0.50000000E+01  -0.25159178E+02
 
   0.17724138E+02   0.00000000E+00  -0.25210737E+02
   0.17724138E+02  -0.17241380E+00  -0.25194426E+02
   0.17724138E+02  -0.34482759E+00  -0.25183373E+02
   0.17724138E+02  -0.51724136E+00  -0.25175902E+02
   0.17724138E+02  -0.68965518E+00  -0.25170862E+02
   0.17724138E+02  -0.86206895E+00  -0.25167465E+02
   0.17724138E+02  -0.10344827E+01  -0.25165178E+02
   0.17724138E+02  -0.12068965E+01  -0.25163639E+02
   0.17724138E+02  -0.13793104E+01  -0.25162603E+02
   0.17724138E+02  -0.15517242E+01  -0.25161906E+02
   0.17724138E+02  -0.17241379E+01  -0.25161437E+02
   0.17724138E+02  -0.18965517E+01  -0.25161122E+02
   0.17724138E+02  -0.20689654E+01  -0.25160910E+02
   0.17724138E+02  -0.22413793E+01  -0.25160768E+02
   0.17724138E+02  -0.24137931E+01  -0.25160672E+02
   0.17724138E+02  -0.25862069E+01  -0.25160608E+02
   0.17724138E+02  -0.27586207E+01  -0.25160564E+02
   0.17724138E+02  -0.29310346E+01  -0.25160535E+02
   0.17724138E+02  -0.31034484E+01  -0.25160516E+02
   0.17724138E+02  -0.32758620E+01  -0.25160503E+02
   0.17724138E+02  -0.34482758E+01  -0.25160494E+02
   0.17724138E+02  -0.36206896E+01  -0.25160488E+02
   0.17724138E+02  -0.37931035E+01  -0.25160484E+02
   0.17724138E+02  -0.39655173E+01  -0.25160481E+02
   0.17724138E+02  -0.41379309E+01  -0.25160479E+02
   0.17724138E+02  -0.43103447E+01  -0.25160478E+02
