# #CIE cooling from Gnat and Ferland 2012: http://wise-obs.tau.ac.il/~orlyg/ion_by_ion/
# #This is the CIE cooling used by Kim+2023, ApJS 264, 10
# #Tgas is in K, cool_He and cool_ZCIE are in erg cm^3/s
# #Total CIE cooling at any metalicity Z is given by: cool_He + Z*cool_ZCIE
# #Tgas Cool_He Cool_ZCIE
9.690000e+05 2.1445200000e-24 1.399190119015276e-22
1.020000e+06 2.0934600000e-24 1.390892546143928e-22
1.070000e+06 2.0424000000e-24 1.371948566125276e-22
1.130000e+06 1.9998500000e-24 1.343821288648052e-22
1.190000e+06 1.9658100000e-24 1.310065376062920e-22
1.250000e+06 1.9317700000e-24 1.270848420879060e-22
1.320000e+06 1.8977300000e-24 1.229272599886588e-22
1.390000e+06 1.8722000000e-24 1.184007130305740e-22
1.460000e+06 1.8466700000e-24 1.129498495875460e-22
1.540000e+06 1.8296500000e-24 1.067484288856552e-22
1.620000e+06 1.8126300000e-24 9.999273200583641e-23
1.700000e+06 1.7956100000e-24 9.236283320110567e-23
1.790000e+06 1.7871000000e-24 8.395875052743294e-23
1.890000e+06 1.7700800000e-24 7.553443874884448e-23
1.990000e+06 1.7615700000e-24 6.736444984536426e-23
2.090000e+06 1.7530600000e-24 5.973586943792136e-23
2.200000e+06 1.7530600000e-24 5.317116261448071e-23
2.320000e+06 1.7445500000e-24 4.759409531910832e-23
2.440000e+06 1.7445500000e-24 4.284407650724115e-23
2.570000e+06 1.7445500000e-24 3.885229007638112e-23
2.700000e+06 1.7445500000e-24 3.545124756207520e-23
2.840000e+06 1.7445500000e-24 3.242900283977552e-23
2.990000e+06 1.7530600000e-24 2.975022410100908e-23
3.150000e+06 1.7530600000e-24 2.735490269727664e-23
3.320000e+06 1.7615700000e-24 2.530274773454956e-23
3.490000e+06 1.7785900000e-24 2.352449849184760e-23
3.680000e+06 1.7956100000e-24 2.205511340917188e-23
3.870000e+06 1.8126300000e-24 2.084932115699716e-23
4.070000e+06 1.8211400000e-24 1.987503861584956e-23
4.290000e+06 1.8466700000e-24 1.908247347520408e-23
4.510000e+06 1.8636900000e-24 1.849959124556060e-23
4.750000e+06 1.8807100000e-24 1.807986525594336e-23
5.000000e+06 1.9062400000e-24 1.779589467735212e-23
5.010000e+06 1.9062400000e-24 1.780933995735212e-23
5.250000e+06 1.9232600000e-24 1.766816322926500e-23
5.500000e+06 1.9487900000e-24 1.759440038168000e-23
5.750000e+06 1.9658100000e-24 1.755868143009500e-23
6.030000e+06 1.9913400000e-24 1.762793885153600e-23
6.310000e+06 2.0083600000e-24 1.773453352947912e-23
6.610000e+06 2.0338900000e-24 1.789420548242336e-23
6.920000e+06 2.0594200000e-24 1.807756706486860e-23
7.240000e+06 2.0849500000e-24 1.825617855633784e-23
7.590000e+06 2.1104800000e-24 1.846044266781020e-23
7.940000e+06 2.1360100000e-24 1.865089568775756e-23
8.320000e+06 2.1615400000e-24 1.884174163375492e-23
8.710000e+06 2.1955800000e-24 1.891662840272940e-23
9.120000e+06 2.2211100000e-24 1.893266781470388e-23
9.550000e+06 2.2466400000e-24 1.884934176317936e-23
1.000000e+07 2.2806800000e-24 1.867858564467996e-23
1.050000e+07 2.3147200000e-24 1.842763563018480e-23
1.100000e+07 2.3572700000e-24 1.804919739869076e-23
1.150000e+07 2.3998200000e-24 1.754725753822072e-23
1.200000e+07 2.4423700000e-24 1.695647727572780e-23
1.260000e+07 2.4849200000e-24 1.626583351075989e-23
1.320000e+07 2.5274700000e-24 1.547324684026896e-23
1.380000e+07 2.5785300000e-24 1.461268419730104e-23
1.450000e+07 2.6210800000e-24 1.368910499483524e-23
1.510000e+07 2.6721400000e-24 1.274771167737056e-23
