0.0e0 1.0e0
3.69e11 0.9983e0
3.715e12 0.9853e0
3.948e13 0.8761e0
1.233e14 0.7199e0
2.536e14 0.5728e0
4.342e14 0.4455e0
6.653e14 0.3431e0
6.689e14 0.3418e0
9.075e14 0.2732e0
1.234e15 0.211e0
1.631e15 0.1619e0
2.105e15 0.1236e0
2.363e15 0.1084e0
2.899e15 0.08447e0
3.207e15 0.0741e0
3.848e15 0.05774e0
4.636e15 0.04416e0
5.547e15 0.0339e0
6.604e15 0.02625e0
7.855e15 0.02048e0
9.368e15 0.01606e0
1.122e16 0.01264e0
1.352e16 0.009987e0
1.643e16 0.007937e0
2.017e16 0.006343e0
2.515e16 0.005088e0
3.19e16 0.004089e0
4.128e16 0.003283e0
5.439e16 0.00264e0
7.315e16 0.00213e0
1.009e17 0.001725e0
1.432e17 0.001397e0
2.092e17 0.001129e0
3.123e17 0.0009097e0
4.738e17 0.000734e0
4.738e17 0.000734e0
5.388e17 0.0006883e0
8.935e17 0.0005377e0
1.381e18 0.0004352e0
2.164e18 0.0003475e0
3.33e18 0.0002771e0
5.024e18 0.0002205e0
7.404e18 0.0001753e0
9.029e18 0.0001549e0
1.316e19 0.000121e0
1.813e19 9.666e-05
2.453e19 7.705e-05
3.248e19 6.148e-05
4.216e19 4.904e-05
5.37e19 3.909e-05
6.722e19 3.112e-05
8.277e19 2.473e-05
9.894e19 1.997e-05
1.186e20 1.578e-05
1.404e20 1.244e-05
1.644e20 9.769e-06
1.908e20 7.634e-06
2.197e20 5.932e-06
2.51e20 4.581e-06
2.849e20 3.515e-06
3.214e20 2.679e-06
3.604e20 2.029e-06
4.019e20 1.527e-06
4.456e20 1.144e-06
4.915e20 8.523e-07
5.393e20 6.332e-07
5.886e20 4.693e-07
6.392e20 3.475e-07
6.909e20 2.574e-07
7.433e20 1.907e-07
7.965e20 1.413e-07
8.505e20 1.047e-07
9.056e20 7.739e-08
9.627e20 5.677e-08
1.011e21 4.386e-08
1.068e21 3.227e-08
1.125e21 2.385e-08
1.185e21 1.75e-08
1.25e21 1.248e-08
1.327e21 8.389e-09
1.428e21 5.026e-09
1.578e21 2.382e-09
1.851e21 6.259e-10
2.128e21 1.653e-10
2.298e21 7.399e-11
2.389e21 4.824e-11
2.459e21 3.474e-11
2.519e21 2.633e-11
2.571e21 2.069e-11
2.618e21 1.663e-11
2.707e21 1.099e-11
2.79e21 7.506e-12
2.887e21 4.825e-12
3.001e21 2.864e-12
3.139e21 1.534e-12
3.303e21 7.324e-13
3.497e21 3.087e-13
3.722e21 1.135e-13
3.983e21 3.591e-14
4.283e21 9.689e-15
4.644e21 2.045e-15
5.127e21 2.618e-16
5.945e21 8.918e-18
8.205e21 3.044e-21
1.015e22 1.739e-23
