#size(cm)    E(eV)        Qabs         Qsca         g(cos)       
1.000000e-07 1.042760e-01 6.069000e-04 9.204000e-14 0.000000e+00 
1.000000e-07 1.105028e-01 7.890000e-04 1.219000e-13 0.000000e+00 
1.000000e-07 1.170767e-01 1.042000e-03 1.609000e-13 0.000000e+00 
1.000000e-07 1.239842e-01 1.265000e-03 1.795000e-13 0.000000e+00 
1.000000e-07 1.313253e-01 1.412000e-03 1.808000e-13 0.000000e+00 
1.000000e-07 1.391049e-01 1.051000e-03 9.649000e-14 0.000000e+00 
1.000000e-07 1.473546e-01 6.787000e-04 4.831000e-14 0.000000e+00 
1.000000e-07 1.560924e-01 3.151000e-04 2.393000e-14 0.000000e+00 
1.000000e-07 1.653343e-01 1.399000e-04 5.113000e-14 0.000000e+00 
1.000000e-07 1.751437e-01 1.100000e-04 1.021000e-13 0.000000e+00 
1.000000e-07 1.855218e-01 1.089000e-04 1.612000e-13 0.000000e+00 
1.000000e-07 1.964884e-01 1.082000e-04 2.321000e-13 0.000000e+00 
1.000000e-07 2.081319e-01 9.993000e-05 4.208000e-13 3.340000e-07 
1.000000e-07 2.204947e-01 9.844000e-05 5.775000e-13 3.750000e-07 
1.000000e-07 2.335359e-01 9.845000e-05 7.788000e-13 4.200000e-07 
1.000000e-07 2.473747e-01 9.983000e-05 1.037000e-12 4.710000e-07 
1.000000e-07 2.620122e-01 1.024000e-04 1.364000e-12 5.290000e-07 
1.000000e-07 2.775558e-01 1.057000e-04 1.781000e-12 5.940000e-07 
1.000000e-07 2.940104e-01 1.098000e-04 2.308000e-12 6.660000e-07 
1.000000e-07 3.114398e-01 1.195000e-04 2.128000e-12 5.270000e-07 
1.000000e-07 3.299207e-01 1.237000e-04 2.721000e-12 5.930000e-07 
1.000000e-07 3.494481e-01 1.282000e-04 3.469000e-12 6.670000e-07 
1.000000e-07 3.701021e-01 1.328000e-04 4.411000e-12 7.500000e-07 
1.000000e-07 3.921069e-01 1.369000e-04 5.602000e-12 8.440000e-07 
1.000000e-07 4.153574e-01 1.415000e-04 7.108000e-12 9.480000e-07 
1.000000e-07 4.399723e-01 1.466000e-04 9.010000e-12 1.070000e-06 
1.000000e-07 4.659308e-01 1.521000e-04 1.141000e-11 1.200000e-06 
1.000000e-07 4.935676e-01 1.581000e-04 1.443000e-11 1.340000e-06 
1.000000e-07 5.229194e-01 1.646000e-04 1.824000e-11 1.510000e-06 
1.000000e-07 5.537481e-01 1.715000e-04 2.304000e-11 1.700000e-06 
1.000000e-07 5.867685e-01 1.789000e-04 2.908000e-11 1.900000e-06 
1.000000e-07 6.214747e-01 1.868000e-04 3.669000e-11 2.140000e-06 
1.000000e-07 6.580902e-01 1.951000e-04 4.628000e-11 2.400000e-06 
1.000000e-07 6.973239e-01 2.041000e-04 5.837000e-11 2.690000e-06 
1.000000e-07 7.384407e-01 2.140000e-04 7.357000e-11 3.020000e-06 
1.000000e-07 7.822347e-01 2.249000e-04 9.266000e-11 3.390000e-06 
1.000000e-07 8.287713e-01 2.363000e-04 1.167000e-10 3.800000e-06 
1.000000e-07 8.774536e-01 2.482000e-04 1.470000e-10 4.270000e-06 
1.000000e-07 9.294167e-01 2.607000e-04 1.851000e-10 4.790000e-06 
1.000000e-07 9.847831e-01 2.740000e-04 2.331000e-10 5.370000e-06 
1.000000e-07 1.042760e+00 2.889000e-04 2.936000e-10 6.030000e-06 
1.000000e-07 1.105028e+00 3.048000e-04 3.697000e-10 6.770000e-06 
1.000000e-07 1.170767e+00 3.216000e-04 4.655000e-10 7.590000e-06 
1.000000e-07 1.239842e+00 3.394000e-04 5.860000e-10 8.520000e-06 
1.000000e-07 1.313253e+00 3.585000e-04 7.376000e-10 9.560000e-06 
1.000000e-07 1.391049e+00 3.786000e-04 9.285000e-10 1.070000e-05 
1.000000e-07 1.473546e+00 3.997000e-04 1.169000e-09 1.200000e-05 
1.000000e-07 1.560924e+00 4.220000e-04 1.473000e-09 1.350000e-05 
1.000000e-07 1.653343e+00 4.453000e-04 1.856000e-09 1.520000e-05 
1.000000e-07 1.751437e+00 4.699000e-04 2.339000e-09 1.700000e-05 
1.000000e-07 1.855218e+00 4.960000e-04 2.948000e-09 1.910000e-05 
1.000000e-07 1.964884e+00 5.237000e-04 3.717000e-09 2.140000e-05 
1.000000e-07 2.081319e+00 5.530000e-04 4.691000e-09 2.410000e-05 
1.000000e-07 2.204947e+00 5.839000e-04 5.921000e-09 2.700000e-05 
1.000000e-07 2.335359e+00 6.165000e-04 7.478000e-09 3.030000e-05 
1.000000e-07 2.473747e+00 6.509000e-04 9.450000e-09 3.400000e-05 
1.000000e-07 2.620122e+00 6.871000e-04 1.195000e-08 3.820000e-05 
1.000000e-07 2.775558e+00 7.250000e-04 1.513000e-08 4.300000e-05 
1.000000e-07 2.940104e+00 7.647000e-04 1.918000e-08 4.830000e-05 
1.000000e-07 3.114398e+00 8.060000e-04 2.432000e-08 5.420000e-05 
1.000000e-07 3.299207e+00 8.477000e-04 3.091000e-08 6.100000e-05 
1.000000e-07 3.494481e+00 8.912000e-04 3.934000e-08 6.860000e-05 
1.000000e-07 3.701021e+00 9.357000e-04 5.018000e-08 7.720000e-05 
1.000000e-07 3.921069e+00 9.811000e-04 6.413000e-08 8.690000e-05 
1.000000e-07 4.153574e+00 1.026000e-03 8.223000e-08 9.800000e-05 
1.000000e-07 4.399723e+00 1.071000e-03 1.058000e-07 1.100000e-04 
1.000000e-07 4.659308e+00 1.114000e-03 1.367000e-07 1.250000e-04 
1.000000e-07 4.935676e+00 1.154000e-03 1.776000e-07 1.410000e-04 
1.000000e-07 5.229194e+00 1.135000e-03 2.327000e-07 1.600000e-04 
1.000000e-07 5.537481e+00 1.243000e-03 3.099000e-07 1.820000e-04 
1.000000e-07 5.867685e+00 1.788000e-03 4.157000e-07 2.080000e-04 
1.000000e-07 6.214747e+00 2.535000e-03 5.589000e-07 2.380000e-04 
1.000000e-07 6.580902e+00 3.745000e-03 7.624000e-07 2.740000e-04 
1.000000e-07 6.973239e+00 5.788000e-03 1.046000e-06 3.160000e-04 
1.000000e-07 7.384407e+00 8.429000e-03 1.446000e-06 3.650000e-04 
1.000000e-07 7.822347e+00 1.216000e-02 2.080000e-06 4.290000e-04 
1.000000e-07 8.287713e+00 2.451000e-02 3.201000e-06 4.860000e-04 
1.000000e-07 8.774536e+00 4.420000e-02 3.614000e-06 4.380000e-04 
