0.0e0 1.0e0 0.0e0 1.0e0 0.0e0 1.0e0
1e12 0.999e0 2.666e13 0.9999e0 1e-07 1.0e0
1.65e12 0.9981e0 3.801e14 0.9893e0 1e-06 1.0e0
2.995e12 0.9961e0 6.634e15 0.9678e0 1e-05 1.0e0
5.979e12 0.9912e0 8.829e16 0.9465e0 0.0001e0 0.9991e0
1.313e13 0.9815e0 9.268e17 0.9137e0 0.001e0 0.9887e0
3.172e13 0.9601e0 1.007e18 0.9121e0 0.001086e0 0.9877e0
8.429e13 0.9113e0 2.021e18 0.8966e0 0.002171e0 0.9755e0
2.464e14 0.8094e0 3.036e18 0.8862e0 0.003257e0 0.9638e0
7.923e14 0.6284e0 4.051e18 0.8781e0 0.004343e0 0.9524e0
1.67e15 0.4808e0 5.066e18 0.8716e0 0.005429e0 0.9413e0
2.595e15 0.3889e0 6.082e18 0.866e0 0.006514e0 0.9306e0
4.435e15 0.2827e0 7.097e18 0.8612e0 0.0076e0 0.9202e0
6.008e15 0.2293e0 8.112e18 0.8569e0 0.008686e0 0.9104e0
8.952e15 0.1695e0 9.341e18 0.8524e0 0.01e0 0.8983e0
1.334e16 0.1224e0 1.014e19 0.8497e0 0.01086e0 0.8908e0
1.661e16 0.1017e0 2.03e19 0.8262e0 0.02171e0 0.8081e0
2.274e16 0.07764e0 3.045e19 0.8118e0 0.03257e0 0.7422e0
3.115e16 0.05931e0 4.061e19 0.8011e0 0.04343e0 0.6875e0
4.266e16 0.04546e0 5.076e19 0.7921e0 0.05429e0 0.6404e0
5.843e16 0.03506e0 6.092e19 0.7841e0 0.06514e0 0.599e0
8.002e16 0.02728e0 7.107e19 0.7769e0 0.076e0 0.562e0
1.096e17 0.02143e0 8.123e19 0.7702e0 0.08686e0 0.5284e0
1.501e17 0.017e0 9.353e19 0.7626e0 0.1e0 0.4916e0
2.055e17 0.0136e0 1.015e20 0.7579e0 0.1086e0 0.4696e0
2.815e17 0.01094e0 2.031e20 0.7094e0 0.2171e0 0.2757e0
4.241e17 0.008273e0 3.047e20 0.6712e0 0.3257e0 0.1705e0
6.389e17 0.006283e0 4.062e20 0.6378e0 0.4343e0 0.1084e0
9.625e17 0.004773e0 5.078e20 0.6074e0 0.5429e0 0.07013e0
1.45e18 0.003611e0 6.094e20 0.5791e0 0.6514e0 0.04593e0
2.184e18 0.002704e0 7.109e20 0.5524e0 0.76e0 0.03037e0
3.291e18 0.001986e0 8.125e20 0.5271e0 0.8686e0 0.02023e0
4.124e18 0.001657e0 9.355e20 0.4977e0 1.0e0 0.01247e0
5.685e18 0.001258e0 1.016e21 0.4793e0 1.086e0 0.00913e0
7.838e18 0.0009332e0 2.031e21 0.2837e0 2.171e0 0.0002133e0
1.08e19 0.0006745e0 3.047e21 0.1526e0 3.257e0 6.269e-06
1.285e19 0.0005596e0 4.063e21 0.07774e0 4.343e0 2.108e-07
1.681e19 0.0004123e0 5.078e21 0.03952e0 5.429e0 7.633e-09
2.199e19 0.0002982e0 6.094e21 0.02093e0 6.514e0 2.873e-10
2.538e19 0.000249e0 7.11e21 0.01199e0 7.6e0 1.102e-11
3.222e19 0.0001827e0 8.125e21 0.007666e0 8.686e0 4.273e-13
4.091e19 0.0001324e0 9.355e21 0.005333e0 10.0e0 8.412e-15
5.193e19 9.473e-05 1.016e22 0.004666e0 10.86e0 6.51e-16
5.893e19 7.891e-05
7.356e19 5.668e-05
8.269e19 4.732e-05
9.246e19 3.967e-05
1.031e20 3.327e-05
1.148e20 2.788e-05
1.277e20 2.331e-05
1.419e20 1.944e-05
1.578e20 1.619e-05
